ID,code,Q5
1177,340,1
1178,313,1
1179,311,
1180,313,1
1181,340,7
1182,112,1
1183,114,2
1184,313,
1185,340,1
1186,311,1
1187,230,3
1188,311,1
1189,340,2
1190,112,5
1193,313,1
1194,312,3
1195,340,1
1197,112,2
1199,340,7
1200,230,3
1201,112,1
1202,220,3
1204,312,1
1205,311,3
1206,313,9
1207,112,1
1208,340,3
1209,230,
1210,311,3
1211,112,1
1212,220,3
1213,312,1
1214,312,
1215,340,2
1216,311,9
1217,112,
1218,313,2
1219,114,1
1220,230,1
1221,112,1
1222,313,2
1223,340,2
1224,312,2
1225,313,2
1226,112,3
1230,112,5
1233,220,2
1234,112,5
1235,370,3
1236,340,8
1237,340,
1238,230,3
1239,112,
1240,312,1
1241,112,2
1242,370,3
1243,250,3
1244,340,9
1245,112,1
1246,114,1
1248,312,1
1249,112,1
1250,112,2
1251,311,3
1252,112,8
1253,340,2
1254,114,1
1255,312,1
1256,250,1
1257,112,4
1258,340,8
1259,112,5
1260,114,3
1261,311,2
1262,312,1
1263,390,2
1264,112,1
1265,114,3
1266,113,1
1267,112,1
1268,112,2
1269,112,7
1270,230,3
1271,311,3
1272,250,7
1274,311,1
1275,114,8
1277,390,3
1278,311,1
1279,112,5
1280,113,1
1281,311,2
1282,112,5
1283,312,3
1284,112,2
1285,313,3
1286,311,2
1287,112,3
1288,312,2
1289,311,1
1290,390,3
1291,370,5
1292,113,2
1293,112,1
1294,311,1
1295,340,1
1296,112,1
1297,311,
1298,250,1
1299,312,3
1300,112,1
1301,220,1
1302,311,1
1303,311,
1304,112,1
1309,313,1
1310,311,3
1311,113,1
1312,312,1
1313,313,3
1314,390,3
1315,311,3
1316,340,2
1317,340,
1318,220,2
1319,311,2
1320,390,2
1322,311,3
1323,112,1
1326,313,1
1327,313,9
1328,112,
1330,220,
1331,312,3
1333,113,1
1334,313,3
1336,112,1
1337,311,
1338,230,
1339,313,
1340,312,1
1341,112,
1342,250,9
1343,220,3
1344,220,2
1345,390,1
1346,370,7
1349,313,1
1352,360,2
1353,390,1
1358,313,2
1359,113,1
1361,311,
1362,312,1
1363,220,1
1365,220,2
1366,220,3
1367,312,1
1368,311,3
1369,370,7
1375,311,3
1377,113,1
1378,113,2
1379,390,3
1380,311,8
1381,112,5
1382,312,1
1383,311,1
1384,390,1
1385,113,1
1386,220,3
1387,220,2
1388,311,2
1389,312,1
1390,370,3
1392,113,
1393,112,4
1394,112,1
1396,312,1
1397,220,2
1399,112,5
1400,390,5
1402,311,1
1403,113,1
1404,390,1
1405,113,
1406,112,1
1407,311,7
1408,370,9
1409,112,2
1410,340,1
1411,390,9
1412,312,1
1413,112,4
1414,390,9
1415,113,1
1416,220,3
1418,340,2
1419,113,1
1420,340,2
1421,311,3
1422,340,2
1425,220,3
1426,112,3
1427,340,2
1429,340,3
1430,113,1
1431,340,2
1432,340,
1433,370,
1434,340,7
1435,113,1
1436,340,3
1437,340,3
1438,340,2
1439,370,5
1440,113,1
1441,370,1
1442,370,
1443,370,3
1444,330,2
1445,330,3
1446,330,3
1447,330,1
1448,330,1
1449,330,3
1450,330,3
1451,330,2
1452,330,2
1453,330,3
1454,330,3
1455,330,3
1456,330,7
1457,330,5
1458,330,3
1459,330,5
1460,330,1
1461,330,1
1462,330,5
